Coefficient,wPCC,Optiwise
${X'}_{0}$,-0.001018304269796022,-0.0017458505440917278
${X'}_{u}$,0.0005031563565035878,0.0008943168585586247
${X'}_{vv}$,-0.00044584035517240687,-0.0021609341810873857
${X'}_{rr}$,-0.0004932507750265864,-0.0012324591212898124
${X'}_{vr}$,-0.001359378945974615,-0.0056467378623398685
${Y'}_{vvv}$,-0.052069008526185914,-0.17632235426573112
${Y'}_{v}$,-0.006900622951729672,-0.015158742779293294
${Y'}_{r}$,0.0012696857899083648,0.006785200421574459
${Y'}_{rrr}$,-0.0034072223185021167,0.0
${Y'}_{vvr}$,-0.07550490664221168,-0.07428079661391275
${Y'}_{vrr}$,-0.03802684264485416,-0.1050367360280679
${N'}_{vvv}$,-0.01926944984943282,-0.007645502404857445
${N'}_{v}$,0.0006346557661195085,0.0051622543432681915
${N'}_{rrr}$,-0.0022615901260724216,0.0
${N'}_{r}$,-0.0005801007454615267,-0.0018379440659464239
${N'}_{vrr}$,-0.01518268878452305,-0.002705314452526377
${N'}_{vvr}$,-0.03177776248242409,-0.0165522640095566
